# BUSCO version is: 5.7.1 
# The lineage dataset is: aves_odb10 (Creation date: 2024-01-08, number of genomes: 62, number of BUSCOs: 8338)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
23at8782	Complete	scaffold73	208197	397813	+	10397.8	5246	https://v10-1.orthodb.org/?query=23at8782	Na-Ca exchanger/integrin-beta4
29at8782	Complete	scaffold35	2096154	1701199	-	9732.4	4619	https://v10-1.orthodb.org/?query=29at8782	Laminin G domain
40at8782	Complete	scaffold399	149987	224479	+	8515.2	4260	https://v10-1.orthodb.org/?query=40at8782	Midasin AAA lid domain 5
52at8782	Complete	scaffold574	106382	176858	+	9372.3	4176	https://v10-1.orthodb.org/?query=52at8782	E3 ubiquitin ligase, UBR4
61at8782	Complete	scaffold16	1375779	1490172	+	10055.4	4475	https://v10-1.orthodb.org/?query=61at8782	Uncharacterized protein KIAA1109
64at8782	Complete	scaffold124	65385	27173	-	9932.9	4158	https://v10-1.orthodb.org/?query=64at8782	Dynein heavy chain AAA lid domain
69at8782	Complete	scaffold207	103107	209749	+	10043.7	4398	https://v10-1.orthodb.org/?query=69at8782	Cytochrome b5-like heme/steroid binding domain
71at8782	Complete	scaffold183	1053034	1024510	-	8530.6	3907	https://v10-1.orthodb.org/?query=71at8782	sacsin
73at8782	Complete	scaffold394	644872	595322	-	8506.0	4362	https://v10-1.orthodb.org/?query=73at8782	Zinc finger, RING-type
75at8782	Complete	scaffold157	1515356	1470093	-	6440.8	3895	https://v10-1.orthodb.org/?query=75at8782	stAR-related lipid transfer protein 9
77at8782	Complete	scaffold23	4261139	4230674	-	7381.1	3590	https://v10-1.orthodb.org/?query=77at8782	Lipid transport, open beta-sheet
92at8782	Complete	scaffold10	1613505	1698563	+	9434.0	4251	https://v10-1.orthodb.org/?query=92at8782	HECT domain
106at8782	Complete	scaffold217	802495	630201	-	9471.9	4184	https://v10-1.orthodb.org/?query=106at8782	Baculoviral IAP repeat-containing protein 6
115at8782	Complete	scaffold72	696172	639281	-	6894.9	3413	https://v10-1.orthodb.org/?query=115at8782	Dynein heavy chain AAA lid domain
117at8782	Complete	scaffold252	3272226	3371352	+	7946.8	3784	https://v10-1.orthodb.org/?query=117at8782	Vacuolar protein sorting-associated protein 13, N-terminal domain
134at8782	Complete	scaffold245	273669	65054	-	8720.0	4095	https://v10-1.orthodb.org/?query=134at8782	FY-rich, C-terminal
