# BUSCO version is: 5.7.1 
# The lineage dataset is: aves_odb10 (Creation date: 2024-01-08, number of genomes: 62, number of BUSCOs: 8338)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
23at8782	Complete	scaffold29	3489424	3298343	-	10405.3	5246	https://v10-1.orthodb.org/?query=23at8782	Na-Ca exchanger/integrin-beta4
29at8782	Complete	scaffold56	2729449	3119614	+	9735.3	4619	https://v10-1.orthodb.org/?query=29at8782	Laminin G domain
40at8782	Complete	scaffold72	3394893	3471948	+	8537.3	4243	https://v10-1.orthodb.org/?query=40at8782	Midasin AAA lid domain 5
52at8782	Complete	scaffold405	108269	171005	+	8602.8	3829	https://v10-1.orthodb.org/?query=52at8782	E3 ubiquitin ligase, UBR4
61at8782	Complete	scaffold186	1409564	1519295	+	10059.4	4475	https://v10-1.orthodb.org/?query=61at8782	Uncharacterized protein KIAA1109
64at8782	Complete	scaffold235	1242284	1284682	+	9932.9	4158	https://v10-1.orthodb.org/?query=64at8782	Dynein heavy chain AAA lid domain
69at8782	Complete	scaffold148	1273492	1383985	+	10409.9	4491	https://v10-1.orthodb.org/?query=69at8782	Cytochrome b5-like heme/steroid binding domain
71at8782	Complete	scaffold152	1123075	1087417	-	8530.8	3907	https://v10-1.orthodb.org/?query=71at8782	sacsin
73at8782	Complete	scaffold10	7332984	7284954	-	8507.6	4362	https://v10-1.orthodb.org/?query=73at8782	Zinc finger, RING-type
75at8782	Complete	scaffold40	1090585	1030442	-	7162.3	4167	https://v10-1.orthodb.org/?query=75at8782	stAR-related lipid transfer protein 9
77at8782	Complete	scaffold134	1040064	1009460	-	7383.0	3590	https://v10-1.orthodb.org/?query=77at8782	Lipid transport, open beta-sheet
92at8782	Complete	scaffold31	3875253	3790284	-	9434.0	4251	https://v10-1.orthodb.org/?query=92at8782	HECT domain
106at8782	Complete	scaffold179	1748959	1852676	+	8370.8	3656	https://v10-1.orthodb.org/?query=106at8782	Baculoviral IAP repeat-containing protein 6
115at8782	Complete	scaffold340	439008	494851	+	6895.9	3413	https://v10-1.orthodb.org/?query=115at8782	Dynein heavy chain AAA lid domain
117at8782	Complete	scaffold198	1184591	1093228	-	7378.1	3531	https://v10-1.orthodb.org/?query=117at8782	Vacuolar protein sorting-associated protein 13, N-terminal domain
134at8782	Complete	scaffold177	1137979	1339323	+	8721.0	4096	https://v10-1.orthodb.org/?query=134at8782	FY-rich, C-terminal
135at8782	Complete	scaffold375	773423	669487	-	7288.7	3562	https://v10-1.orthodb.org/?query=135at8782	PKD/REJ-like domain
137at8782	Complete	scaffold234	1322580	1250656	-	8569.3	3860	https://v10-1.orthodb.org/?query=137at8782	HECT domain
138at8782	Complete	scaffold9	4547161	4710252	+	7911.2	3782	https://v10-1.orthodb.org/?query=138at8782	Dynein heavy chain, ATP-binding dynein motor region
141at8782	Complete	scaffold197	495557	384435	-	6679.3	3423	https://v10-1.orthodb.org/?query=141at8782	Na-Ca exchanger/integrin-beta4
148at8782	Complete	scaffold765	72235	192671	+	5083.8	2590	https://v10-1.orthodb.org/?query=148at8782	Dynein heavy chain AAA lid domain
150at8782	Complete	scaffold4	1918039	1854387	-	6584.9	3145	https://v10-1.orthodb.org/?query=150at8782	Phosphatidylinositol 3-/4-kinase, catalytic domain
161at8782	Complete	scaffold261	654375	468719	-	4033.6	1890	https://v10-1.orthodb.org/?query=161at8782	Vacuolar protein sorting-associated protein 13, C-terminal
179at8782	Complete	scaffold1	20031973	19985595	-	6060.6	3748	https://v10-1.orthodb.org/?query=179at8782	cardiomyopathy-associated protein 5
193at8782	Complete	scaffold92	1254516	1195689	-	5988.8	2905	https://v10-1.orthodb.org/?query=193at8782	protein piccolo
197at8782	Complete	scaffold112	5673	132606	+	2720.9	1371	https://v10-1.orthodb.org/?query=197at8782	IPT domain
199at8782	Complete	scaffold6	6229282	6138413	-	8726.3	3648	https://v10-1.orthodb.org/?query=199at8782	Phosphatidylinositol 3-/4-kinase, catalytic domain
202at8782	Complete	scaffold280	208576	270921	+	6667.6	3168	https://v10-1.orthodb.org/?query=202at8782	lysosomal-trafficking regulator
206at8782	Complete	scaffold52	3089513	2967823	-	6472.1	3054	https://v10-1.orthodb.org/?query=206at8782	EGF-like domain
209at8782	Complete	scaffold46	536812	276368	-	7012.0	3078	https://v10-1.orthodb.org/?query=209at8782	EGF-like domain, extracellular
217at8782	Complete	scaffold89	1162245	1229126	+	7497.7	4317	https://v10-1.orthodb.org/?query=217at8782	golgin subfamily B member 1-like
222at8782	Complete	scaffold224	453403	514279	+	4276.9	2006	https://v10-1.orthodb.org/?query=222at8782	ATP-binding cassette sub-family A member 12
230at8782	Complete	scaffold58	484769	429329	-	6697.0	3034	https://v10-1.orthodb.org/?query=230at8782	protein SZT2
240at8782	Complete	scaffold28	4464635	4605563	+	7041.0	3078	https://v10-1.orthodb.org/?query=240at8782	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
247at8782	Complete	scaffold6	7875035	7919599	+	6997.7	3058	https://v10-1.orthodb.org/?query=247at8782	Serine/threonine-protein kinase SMG1
253at8782	Complete	scaffold40	3693209	3785424	+	6863.7	3317	https://v10-1.orthodb.org/?query=253at8782	Pleckstrin homology domain
255at8782	Complete	scaffold575	338824	351397	+	5305.6	3178	https://v10-1.orthodb.org/?query=255at8782	zinc finger protein 469
282at8782	Complete	scaffold140	763901	849325	+	5690.4	3095	https://v10-1.orthodb.org/?query=282at8782	Pericentrin/AKAP-450 centrosomal targeting domain
288at8782	Fragmented	scaffold111	812719	776352	-	3439.8	1921	https://v10-1.orthodb.org/?query=288at8782	breast cancer type 2 susceptibility protein
305at8782	Complete	scaffold8	5898755	5868483	-	6435.1	3102	https://v10-1.orthodb.org/?query=305at8782	FY-rich, C-terminal
319at8782	Complete	scaffold77	3030969	3075075	+	5373.0	2477	https://v10-1.orthodb.org/?query=319at8782	dmX-like protein 2
326at8782	Complete	scaffold2	10962421	11085768	+	5664.1	2772	https://v10-1.orthodb.org/?query=326at8782	Vacuolar protein sorting-associated protein 13, N-terminal domain
327at8782	Complete	scaffold94	93379	23102	-	5445.7	2556	https://v10-1.orthodb.org/?query=327at8782	DNA-directed DNA polymerase, family B, exonuclease domain
338at8782	Complete	scaffold62	6034715	5929148	-	5087.5	2524	https://v10-1.orthodb.org/?query=338at8782	Uncharacterised domain, cysteine-rich
342at8782	Complete	scaffold244	1258865	1305663	+	2830.9	1237	https://v10-1.orthodb.org/?query=342at8782	protein unc-80 homolog
358at8782	Complete	scaffold13	6837191	6757149	-	5480.4	2606	https://v10-1.orthodb.org/?query=358at8782	huntingtin
361at8782	Complete	scaffold236	106151	186647	+	3237.4	1634	https://v10-1.orthodb.org/?query=361at8782	von Willebrand factor
379at8782	Complete	scaffold552	270912	317387	+	5080.0	2286	https://v10-1.orthodb.org/?query=379at8782	Zinc finger, ZZ-type
386at8782	Complete	scaffold232	1592524	1616967	+	4656.9	2580	https://v10-1.orthodb.org/?query=386at8782	abnormal spindle-like microcephaly-associated protein
410at8782	Complete	scaffold518	287708	241651	-	5561.9	2737	https://v10-1.orthodb.org/?query=410at8782	Collagen triple helix repeat
412at8782	Complete	scaffold288	1015840	1041344	+	5244.5	2616	https://v10-1.orthodb.org/?query=412at8782	RNA recognition motif domain
414at8782	Complete	scaffold76	1578818	1501648	-	5337.8	2554	https://v10-1.orthodb.org/?query=414at8782	dmX-like protein 1
417at8782	Complete	scaffold605	293819	245652	-	5205.9	2478	https://v10-1.orthodb.org/?query=417at8782	Bromo adjacent homology (BAH) domain
457at8782	Complete	scaffold1	10271893	10215287	-	4712.2	2655	https://v10-1.orthodb.org/?query=457at8782	Ciliogenesis and planar polarity effector 1
458at8782	Complete	scaffold39	3764059	3664440	-	4456.4	2392	https://v10-1.orthodb.org/?query=458at8782	Cilia- and flagella-associated protein 54
461at8782	Complete	scaffold47	4378255	4456005	+	3716.5	1828	https://v10-1.orthodb.org/?query=461at8782	thyroglobulin
471at8782	Complete	scaffold170	875026	963954	+	4778.7	2143	https://v10-1.orthodb.org/?query=471at8782	protein unc-79 homolog
472at8782	Complete	scaffold121	210897	108598	-	4859.9	2588	https://v10-1.orthodb.org/?query=472at8782	CAP Gly-rich domain
475at8782	Complete	scaffold226	1180729	1099883	-	4575.4	2199	https://v10-1.orthodb.org/?query=475at8782	Phosphatidylinositol 3-/4-kinase, catalytic domain
476at8782	Complete	scaffold681	190192	202471	+	4348.3	2463	https://v10-1.orthodb.org/?query=476at8782	microtubule-associated protein 1A
485at8782	Complete	scaffold40	4036058	3985828	-	4923.6	2645	https://v10-1.orthodb.org/?query=485at8782	Myc-type, basic helix-loop-helix (bHLH) domain
493at8782	Complete	scaffold257	1216410	1301204	+	5682.3	2395	https://v10-1.orthodb.org/?query=493at8782	Putative ubiquitin carboxyl-terminal hydrolase FAF-X
494at8782	Complete	scaffold351	249141	149529	-	4536.7	2229	https://v10-1.orthodb.org/?query=494at8782	FAS1 domain
498at8782	Complete	scaffold728	144995	184121	+	4651.3	2254	https://v10-1.orthodb.org/?query=498at8782	EGF-like, conserved site
504at8782	Complete	scaffold342	355417	255329	-	4368.8	2141	https://v10-1.orthodb.org/?query=504at8782	FAS1 domain
508at8782	Complete	scaffold308	841574	816968	-	3971.0	2322	https://v10-1.orthodb.org/?query=508at8782	DNA2/NAM7 helicase, AAA domain
510at8782	Complete	scaffold774	132744	200377	+	4769.9	2428	https://v10-1.orthodb.org/?query=510at8782	small subunit processome component 20 homolog
512at8782	Complete	scaffold23	4473707	4437118	-	4225.9	2249	https://v10-1.orthodb.org/?query=512at8782	TPR and ankyrin repeat-containing protein 1
515at8782	Complete	scaffold42	5951702	5997616	+	4669.1	2174	https://v10-1.orthodb.org/?query=515at8782	ectopic P granules protein 5 homolog
518at8782	Complete	scaffold224	326994	377543	+	4330.0	2016	https://v10-1.orthodb.org/?query=518at8782	Fibronectin, type I
521at8782	Complete	scaffold227	167401	191086	+	4482.8	2201	https://v10-1.orthodb.org/?query=521at8782	Zinc finger C2H2-type
522at8782	Complete	scaffold399	739769	455624	-	4447.3	2445	https://v10-1.orthodb.org/?query=522at8782	uncharacterized protein CXorf22 homolog
523at8782	Complete	scaffold95	1106270	1064171	-	4895.5	2324	https://v10-1.orthodb.org/?query=523at8782	translational activator GCN1
528at8782	Complete	scaffold67	3273820	3226947	-	4416.7	2151	https://v10-1.orthodb.org/?query=528at8782	Cation-independent mannose-6-phosphate receptor
532at8782	Complete	scaffold6	2402872	2477169	+	4884.2	2387	https://v10-1.orthodb.org/?query=532at8782	Helicase/UvrB, N-terminal
541at8782	Complete	scaffold174	1950053	1880973	-	5832.0	2436	https://v10-1.orthodb.org/?query=541at8782	FKBP12-rapamycin binding domain
544at8782	Complete	scaffold23	1432027	1470207	+	5790.3	2607	https://v10-1.orthodb.org/?query=544at8782	Desmoplakin, spectrin-like domain
545at8782	Complete	scaffold486	98916	129243	+	3939.8	1910	https://v10-1.orthodb.org/?query=545at8782	Beta-ketoacyl synthase, C-terminal
558at8782	Complete	scaffold432	183527	269893	+	6204.2	2731	https://v10-1.orthodb.org/?query=558at8782	chromodomain-helicase-DNA-binding protein 7
576at8782	Complete	scaffold22	148969	199187	+	4477.8	2119	https://v10-1.orthodb.org/?query=576at8782	Helicase/UvrB, N-terminal
578at8782	Complete	scaffold467	356314	373906	+	5387.6	2178	https://v10-1.orthodb.org/?query=578at8782	pre-mRNA-processing-splicing factor 8
579at8782	Complete	scaffold205	949929	1125933	+	4578.2	2172	https://v10-1.orthodb.org/?query=579at8782	Myosin head, motor domain
588at8782	Complete	scaffold74	1004976	970420	-	3960.8	1890	https://v10-1.orthodb.org/?query=588at8782	FYVE zinc finger
591at8782	Missing
597at8782	Complete	scaffold190	346696	307452	-	3549.9	1639	https://v10-1.orthodb.org/?query=597at8782	ABC transporter-like
602at8782	Complete	scaffold110	2091643	2207003	+	4546.6	1940	https://v10-1.orthodb.org/?query=602at8782	Rap GTPase activating protein domain
605at8782	Complete	scaffold21	2913757	2925612	+	3751.8	1910	https://v10-1.orthodb.org/?query=605at8782	Adenomatous polyposis coli protein repeat
606at8782	Complete	scaffold664	54537	37721	-	4458.3	2279	https://v10-1.orthodb.org/?query=606at8782	DNA2/NAM7 helicase, AAA domain
618at8782	Missing
621at8782	Complete	scaffold533	358132	326108	-	3855.1	2017	https://v10-1.orthodb.org/?query=621at8782	spatacsin
622at8782	Complete	scaffold40	3327137	3268568	-	5924.6	2490	https://v10-1.orthodb.org/?query=622at8782	HECT domain
624at8782	Complete	scaffold211	1117508	1167178	+	4652.4	2741	https://v10-1.orthodb.org/?query=624at8782	LOW QUALITY PROTEIN: golgin subfamily B member 1-like
625at8782	Complete	scaffold534	439777	377173	-	4096.8	2028	https://v10-1.orthodb.org/?query=625at8782	SET domain
626at8782	Complete	scaffold233	48982	100675	+	4409.3	2036	https://v10-1.orthodb.org/?query=626at8782	Dopey, N-terminal
628at8782	Complete	scaffold68	560145	603093	+	3931.1	1859	https://v10-1.orthodb.org/?query=628at8782	Uncharacterised domain, cysteine-rich
635at8782	Complete	scaffold987	12223	42509	+	3806.0	1630	https://v10-1.orthodb.org/?query=635at8782	ubiquitin carboxyl-terminal hydrolase 24
641at8782	Complete	scaffold536	120198	252706	+	5910.5	2472	https://v10-1.orthodb.org/?query=641at8782	HECT domain
643at8782	Complete	scaffold46	2565185	2456692	-	4631.7	2177	https://v10-1.orthodb.org/?query=643at8782	Leucine rich repeat 4
647at8782	Complete	scaffold176	1204209	1226744	+	3918.3	1840	https://v10-1.orthodb.org/?query=647at8782	Uncharacterised domain, cysteine-rich
648at8782	Complete	scaffold709	29616	85085	+	5198.3	2174	https://v10-1.orthodb.org/?query=648at8782	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
660at8782	Complete	scaffold2	10881574	10754285	-	4214.1	2521	https://v10-1.orthodb.org/?query=660at8782	protein prune homolog 2
663at8782	Complete	scaffold147	1964041	1944866	-	3960.5	1744	https://v10-1.orthodb.org/?query=663at8782	Gamma tubulin complex component, C-terminal
670at8782	Complete	scaffold39	2210008	2079317	-	4459.1	2079	https://v10-1.orthodb.org/?query=670at8782	Fibronectin type III
671at8782	Complete	scaffold243	229400	273911	+	5289.3	2564	https://v10-1.orthodb.org/?query=671at8782	E1A-binding protein p400
674at8782	Complete	scaffold187	1413225	1349011	-	4296.4	2012	https://v10-1.orthodb.org/?query=674at8782	Tetratricopeptide repeat
679at8782	Complete	scaffold131	1881919	1941167	+	4066.5	2038	https://v10-1.orthodb.org/?query=679at8782	PLAT/LH2 domain
687at8782	Complete	scaffold156	1350215	1375446	+	4660.2	2200	https://v10-1.orthodb.org/?query=687at8782	Zinc finger C2H2-type
702at8782	Complete	scaffold842	205	38422	+	2442.9	1632	https://v10-1.orthodb.org/?query=702at8782	protein CASC5
704at8782	Complete	scaffold59	1978795	1883037	-	4851.9	2096	https://v10-1.orthodb.org/?query=704at8782	Pleckstrin homology domain
706at8782	Missing
723at8782	Complete	scaffold144	47287	95562	+	4662.7	2330	https://v10-1.orthodb.org/?query=723at8782	trinucleotide repeat-containing gene 18 protein
729at8782	Complete	scaffold135	1849131	1815395	-	5022.4	3478	https://v10-1.orthodb.org/?query=729at8782	G-patch domain
730at8782	Complete	scaffold41	2612909	2791904	+	4103.7	1964	https://v10-1.orthodb.org/?query=730at8782	neuroblastoma-amplified sequence
732at8782	Complete	scaffold176	1244147	1277258	+	3993.1	1821	https://v10-1.orthodb.org/?query=732at8782	Sortilin, N-terminal
737at8782	Complete	scaffold434	648420	724022	+	3874.9	1768	https://v10-1.orthodb.org/?query=737at8782	DNA polymerase epsilon catalytic subunit A
739at8782	Complete	scaffold300	782366	736176	-	3698.8	1910	https://v10-1.orthodb.org/?query=739at8782	Zinc finger C2H2-type
742at8782	Complete	scaffold417	592577	506783	-	4036.0	1972	https://v10-1.orthodb.org/?query=742at8782	PDZ domain
